"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1",2,2,2,2,1,1,2,1,3,2,1,2,NA,NA,2,2,NA,2,1,2,2,0,NA,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,1,2,2,2,2,1,2,2,2,2,2
"2",2,2,2,2,1,1,2,1,3,2,1,2,NA,NA,2,2,NA,2,1,2,2,0,NA,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,1,2,2,2,2,1,2,2,2,2,2
"3",2,2,2,2,1,1,2,1,3,2,1,2,NA,NA,2,2,NA,2,1,2,2,0,NA,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,0,2,2,2,2,2,NA,2,2,1,2,2,2,2,2,2,2,2,2,1,3,1,2,2,2,2,1,2,2,2,2,2
"4",2,2,2,2,1,1,2,1,3,2,1,1,NA,NA,2,2,NA,2,1,0,2,1,NA,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,1,1,3,2,2,2,2,2,2,2,2,NA,1,2,2,2,2,1,2,1,2,2,2
"5",2,2,2,2,1,1,2,1,3,2,1,1,NA,NA,2,2,NA,2,1,0,2,1,NA,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,1,1,3,2,2,2,2,2,2,2,2,NA,1,2,2,2,2,1,2,1,2,2,2
"6",2,2,2,2,1,1,2,1,3,2,1,1,NA,NA,2,2,NA,2,1,0,2,1,NA,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,NA,2,2,1,1,3,2,2,2,2,2,2,2,2,NA,1,2,2,2,2,1,2,1,2,2,2
"7",2,2,2,1,1,1,2,2,3,1,1,2,NA,NA,2,2,NA,2,1,0,2,1,NA,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,0,2,2,2,2,2,NA,2,2,1,2,3,2,2,2,2,2,2,NA,1,NA,1,2,1,2,2,1,2,1,2,2,3
"8",2,2,2,1,1,1,2,2,3,1,1,2,NA,NA,2,2,NA,2,1,0,2,1,NA,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,1,2,3,2,2,2,2,2,2,NA,1,NA,1,2,1,2,2,1,2,1,2,2,3
"9",2,2,2,1,1,1,2,2,3,1,1,2,NA,NA,2,2,NA,2,1,0,2,1,NA,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,1,2,3,2,2,2,2,2,2,NA,1,NA,1,2,1,2,2,1,2,1,2,2,3
"10",2,2,2,2,1,1,2,1,3,1,1,2,NA,NA,2,2,NA,0,1,0,2,NA,NA,2,1,2,0,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,2,2,2,1,2,2,1,2,2,2,2,2,1,2,3,2,1,2,0,2,2,2,1,NA,1,2,2,2,2,1,2,1,2,2,2
"11",2,2,2,2,1,1,2,1,3,1,1,2,NA,NA,2,2,NA,0,1,0,2,NA,NA,2,1,2,0,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,2,2,2,1,2,2,1,2,2,2,2,2,1,2,3,2,1,2,0,2,2,2,1,NA,1,2,2,2,2,1,2,1,2,2,2
"12",2,2,2,2,1,1,2,1,3,1,1,2,NA,NA,2,2,NA,0,1,0,2,NA,NA,2,1,2,0,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,2,2,2,1,2,2,1,2,2,2,2,2,1,2,3,2,1,2,0,2,2,2,1,NA,1,2,2,2,2,1,2,1,2,2,2
"13",2,2,2,2,1,1,2,1,3,1,1,2,NA,1,2,2,NA,1,1,2,2,NA,NA,2,1,2,0,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,NA,1,2,2,2,2,1,2,2,2,2,2
"14",2,2,2,2,1,1,2,1,3,1,1,2,NA,1,2,2,NA,1,1,2,2,NA,NA,2,1,2,0,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,NA,1,2,2,2,2,1,2,2,2,2,2
"15",2,2,2,2,1,1,2,1,3,1,1,2,NA,1,2,2,NA,1,1,2,2,NA,NA,2,1,2,0,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,1,2,2,2,1,1,2,2,2,2,2,NA,1,2,2,2,2,1,2,2,2,2,2
"16",2,2,2,0,1,1,2,1,3,1,1,2,NA,1,2,2,NA,3,1,2,2,NA,NA,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,NA,2,2,2,1,2,2,2,2,2,2,NA,1,2,2,2,2,1,2,2,2,2,2
"17",2,2,2,0,1,1,2,1,3,1,1,2,NA,1,2,2,NA,3,1,2,2,NA,NA,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,NA,2,2,2,1,2,2,2,2,2,2,NA,1,2,2,2,2,1,2,2,2,2,2
"18",2,2,2,0,1,1,2,1,3,1,1,2,NA,1,2,2,NA,3,1,2,2,NA,NA,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,NA,2,2,2,1,2,2,2,2,2,2,3,1,2,2,2,2,1,2,2,2,2,2
"19",2,2,2,0,1,1,2,3,3,1,2,2,NA,1,2,2,NA,2,1,2,2,NA,NA,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2
"20",2,2,2,0,1,1,2,3,3,1,2,2,NA,1,2,2,NA,2,1,2,2,7,NA,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,NA,2,2,2,2,2,2,2,2,2,2,NA,1,2,2,2,2,1,2,2,2,2,2
